"ID";"okres";"kraj";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"sur_x";"sur_y";"tel_predvobla";"tel_cislo";"tel_cislo2";"tel_cislo3";"fax_cislo";"email";"email2";"email3";"adresa_www";"kod_kodsko";"postih";"postih1_nazov";"postih2_nazov";"postih3_nazov";"postih4_nazov"
"815";"Ilava";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Váska 399";"Ladce";"01863";"18,2858";"49,042";"042";"4628232";"0917538007";"4710232";;"zs.ladce@stonline.sk";"bmajtanova@azet.sk";;"www.ladce.sk";"036124711";;;;;
"816";"Ilava";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Mikušovce 16";"Mikušovce";"01857";"18,2058";"49,0652";"042";"4464079";;;"4464079";"zsms@mikusovce.sk";"riadzs@mikusovce.sk";;"www.zsmsmikusovce.sk";"036124613";;;;;
"817";"Ilava";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Janka Krá¾a 1";"Nová Dubnica";"01851";"18,1495";"48,9383";"042";"4433642";"0911410421";;"4433642";"zsjk@zsjk.sk";"ivanneu@zsjk.sk";"niznanska@zsjk.sk";"www.zsjk.edu.sk";"034057579";;;;;
"818";"Ilava";"Trenèiansky";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Sad Duklian. hrdinov 9";"Nová Dubnica";"01851";"18,1388";"48,9377";"042";"4432381";;;;"zusnd@stonline.sk";"zusnd@stonline.sk";;;"036124524";;;;;
"819";"Ilava";"Trenèiansky";"Obèianske zdruenia";"Základná škola";"Slovenskı";"Základná škola";"Súkromná základná škola";"Slov.národ.povstania 3";"Nová Dubnica";"01851";"18,1368";"48,9408";"042";"4433335";"0904134806";"0911225923";;"skoladokoran@szsndca.edu.sk";"riaditel@szsndca.edu.sk";;"www.szsndca.edupage.org";"036129046";;;;;
"820";"Ilava";"Trenèiansky";"Obèianske zdruenia";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Slov.národ.povstania 3";"Nová Dubnica";"01851";"18,1369";"48,9408";"042";"4433335";"0904134806";"0911225923";;"skoladokoran@szsndca.edu.sk";"riaditel@szsndca.edu.sk";;"www.szsndca.edupage.org";"042017611";;;;;
"821";"Ilava";"Trenèiansky";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"Spoj.šk.sv.J.Bosca-ZŠ";"Trenèianska 28";"Nová Dubnica";"01851";"18,1448";"48,9351";"042";"4432383";"0915751690";"0907073836";"4432383";"zs@ssnd.sk";"riaditel@ssnd.sk";"adamcová@ssnd.sk";"www.ssnd.sk";"710262205";;;;;
"822";"Ilava";"Trenèiansky";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Spoj.šk.sv. J.Bosca-Gym";"Trenèianska 28";"Nová Dubnica";"01851";"18,1449";"48,9351";"042";"4432383";"0915751690";;"4432383";"gymbosca@ssnd.sk";"riaditel@ssnd.sk";;"www.ssnd.sk";"030414164";;;;;
"823";"Ilava";"Trenèiansky";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"Pruské 294";"Pruské";"01852";"18,2109";"49,0266";"042";"4492532";"0905408367";;"4492738";"info@sospruske.tsk.sk";"fedorova.janka@gmail.com";;"www.sospruske.edupage.org";"000159298";;;;;
"824";"Ilava";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"ZŠ s MŠ H.Gavlovièa";"Školská 369";"Pruské";"01852";"18,211";"49,0265";"042";"4492647";"0915765303";"0903633253";"4492647";"zspruske@zspruske.edu.sk";"riaditel@zspruske.sk";"chuda@zspruske.sk";"www.zspruske.edupage.org";"036124681";;;;;
"825";"Ilava";"Trenèiansky";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Tuchyòa 105";"Tuchyòa";"01855";"18,2173";"49,0411";"042";"4492604";;;;"zstuchyna@zoznam.sk";"zstuchyna@zoznam.sk";;;"710059418";;;;;
"826";"Ilava";"Trenèiansky";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Zliechov 47";"Zliechov";"01832";"18,4321";"48,9504";"042";"4474429";;;;"zszliechov@stonline.sk";"zszliechov@mail.t-com.sk";;;"710059434";;;;;
"827";"Myjava";"Trenèiansky";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Brestovec 147";"Brestovec";"90701";"17,5668";"48,7934";"034";"6215924";"0908416310";;;"holotova@st.chirasys.sk";;;"www.zsbrestovec.edu.sk";"710057067";;;;;
"829";"Myjava";"Trenèiansky";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Hornı rad 89";"Brezová pod Bradlom";"90613";"17,5418";"48,6673";"034";"6242485";;;"6242485";"zus.brezova@zoznam.sk";"janakazickovazus@zoznam.sk";;;"036128589";;;;;
"830";"Myjava";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Sídl. Dolné Lúky 357";"Brezová pod Bradlom";"90613";"17,5382";"48,6603";"034";"6242144";"0905545559";"0908055062";"6242144";"skola@zsbrezova.edu.sk";"riaditel@zsbrezova.edu.sk";"zastupca@zsbrezova.edu.sk";"www.zsbrezova.edu.sk";"036127931";;;;;
"831";"Myjava";"Trenèiansky";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Jablonka 1";"Jablonka";"90621";"17,6087";"48,7259";"034";"6215229";;;;"skola@zsjablonka.edu.sk";"zsdivnves@pobox.sk";;;"710057113";;;;;
"832";"Myjava";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Kostolné 263";"Kostolné";"91613";"17,7085";"48,7364";"032";"7790219";;;"7790241";"zskostolne@zskostolne.edu.sk";"zskostolne@zskostolne.edu.sk";;;"036129879";;;;;
"833";"Myjava";"Trenèiansky";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"ZŠ M.R.Štefánika";"Košariská 81";"Košariská";"90615";"17,5967";"48,6705";"034";"6242889";;;;"skola@zskosariska.edu.sk";"jansto@zskosariska.edu.sk";;"www.zskosariska.edu.sk";"710057121";;;;;
"834";"Myjava";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Krajné 173";"Krajné";"91616";"17,6863";"48,7009";"032";"7786107";"0915792159";;"7786107";"riaditel@zskrajne.sk";"riaditel@zskrajne.sk";"jdominiak@zskrajne.sk";"www.zskrajne.sk";"036128449";;;;;
"835";"Myjava";"Trenèiansky";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Jablonská 5";"Myjava";"90701";"17,5709";"48,7537";"034";"6213462";"0915794992";;"6213460";"skola@gymy.sk";"danka.michalkova@gymy.tsk.sk";;"www.gymy.sk";"000596680";;;;;
"836";"Myjava";"Trenèiansky";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"m. è. Turá Lúka 103";"Myjava";"90703";"17,539";"48,7442";"034";"6214143";"0908197900";"0904317073";;"zssms.turaluka@zstlukamy.edu.sk";"zssms.turaluka@zstlukamy.edu.sk";"anna.pazicka@centrum.sk";"www.turaluka.edupage.org";"051253381";;;;;
"837";"Myjava";"Trenèiansky";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Partizánska 17";"Myjava";"90701";"17,5677";"48,7532";"034";"6212231";"0915744456";;;"zusmyjava@zoznam.sk";"zusmyjava@zoznam.sk";;;"036128597";;;;;
"838";"Myjava";"Trenèiansky";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"Stred.priemyselná škola";"SNP 8";"Myjava";"90701";"17,5715";"48,7525";"034";"6212348";"0918591672";;"6212446";"sps@spsmyj.sk";"palkova@spsmyj.tsk.sk";;"www.spsmyj.sk";"000161381";;;;;
"839";"Myjava";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Štúrova 18";"Myjava";"90701";"17,566";"48,7585";"034";"6965400";"0905355992";"6965403";"6965407";"spravca@zssturmy.edu.sk";"maliarikova@azet.sk";;"www.zsmyjava.sk";"031202802";;;;;
"840";"Myjava";"Trenèiansky";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špeciálna základ. škola";"Továrenská 1";"Myjava";"90701";"17,5718";"48,7579";"034";"6540513";"6212895";"6212895";"6212895";"szsmyjava@stonline.sk";"erika4499@gmail.com";"dagmar0912@gmail.sk";"www.szsmyjava.edupage.sk";"034058851";"syndróm autizmu";;;;
"841";"Myjava";"Trenèiansky";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špeciálna základ. škola";"Továrenská 1";"Myjava";"90701";"17,5719";"48,7579";"034";"6540513";"6212895";"6212895";"6212895";"szsmyjava@stonline.sk";"erika4499@gmail.com";"dagmar0912@gmail.sk";"www.szsmyjava.edupage.sk";"034058851";"mentálny";;;;
"842";"Myjava";"Trenèiansky";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špeciálna základ. škola";"Továrenská 1";"Myjava";"90701";"17,572";"48,7579";"034";"6540513";"6212895";"6212895";"6212895";"szsmyjava@stonline.sk";"erika4499@gmail.com";"dagmar0912@gmail.sk";"www.szsmyjava.edupage.sk";"034058851";"pri zdravotníckom zariadení";;;;
"844";"Myjava";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Viestova 1";"Myjava";"90701";"17,5652";"48,7462";"034";"6212182";"0907331993";"0908029921";"6212182";"riaditzsviesmy@post.sk";"simozd@gmail.com";;"www.zsviesmy.edu.sk";"031827691";;;;;
"845";"Myjava";"Trenèiansky";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Rudník 2";"Rudník";"90623";"17,6304";"48,7604";"034";"6215624";;;;"zs2rudnik.edu.sk@zoznam.sk";"zs2rudnik.edu.sk@zoznam.sk";;"www.zs2rudnik.edu.sk";"710057300";;;;;
"846";"Myjava";"Trenèiansky";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Stará Myjava 129";"Stará Myjava";"90701";"17,5887";"48,7922";"034";"6215123";;;;"zs_staramyjava@centrum.sk";"pleskonova@zoznam.sk";;"www.zssmyjava.edu.sk";"710057350";;;;;
"847";"Myjava";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Vrbovce 147";"Vrbovce";"90606";"17,4689";"48,7991";"034";"6283215";"0905407484";;"6283215";"skola.zs@vrbovce.sk";"karol.jirka@seznam.cz";"vvaluchova@seznam.cz";"www.skolavrbovce.edupage.sk";"036127922";;;;;
"848";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"ZŠ s MŠ J.M.Hurbana";"Beckov 410";"Beckov";"91638";"17,896";"48,7897";"032";"7777120";;"7711120";"7777120";"zs.beckov@mail.t-com.sk";;;"www.beckov.edu.sk";"036125296";;;;;
"849";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"ZŠ s MŠ ¼.V.Riznera";"Bošáca 396";"Bošáca";"91307";"17,8388";"48,832";"032";"7781210";;;"7781210";"zsbosaca@centrum.sk";"zsbosaca@centrum.sk";;"www.zsbosaca.edu.sk";"036125083";;;;;
"850";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"ZŠ sMŠ ¼.Podjavorinskej";"Bzince pod Javorinou 346";"Bzince pod Javorinou";"91611";"17,7706";"48,7873";"032";"7793257";"0907105564";"0905132944";"7793697";"zs.bzince@post.sk";"zs.bzince@post.sk";;"www.zsbzince.edupage.org";"036125075";;;;;
"851";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Pionierska 348";"Èachtice";"91621";"17,7845";"48,713";"032";"7787134";;;"7787247";"obec@cachtice.sk";"zuscachtice@cachtice.sk";;;"710065418";;;;;
"853";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"ZŠ 4. sednice Tatrína";"Pionierska 351";"Èachtice";"91621";"17,7846";"48,713";"032";"7787109";"0902163040";;"7787109";"riaditel@zscachtice.edu.sk";"riaditel@zscachtice.edu.sk";;"www.zscachtice.edu.sk";"036125458";"1";"mentálny";;;
"854";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Èastkovce 157";"Èastkovce";"91627";"17,7806";"48,6893";"032";"7794195";;"7794233";;"zscastkovce@centrum.sk";;;"www.zscastkovce.edu.sk";"037914821";;;;;
"855";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Horná Streda 391";"Horná Streda";"91624";"17,8427";"48,656";"032";"7773112";"7773175";;;"zssmsh.streda@stonline.sk";;;"www.zssmshornastreda.sk";"036125440";;;;;
"856";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Kálnica 385";"Kálnica";"91637";"17,9314";"48,7628";"032";"7798836";"0915740718";;;"zskalnica@zskalnica.edu.sk";"mrohackova@zoznam.sk";;"www.zskalnica.edu.sk";"042025737";;;;;
"857";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Koèovce 380";"Koèovce";"91631";"17,8869";"48,7439";"032";"7798120";;;"7798120";"riaditel@zskocovce.edu.sk";"riaditel@zskocovce.edu.sk";;"www.zskocovce.edu.sk";"036125288";;;;;
"858";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"ZŠ s MŠ Samuela Štúra";"Lubina 1";"Lubina";"91612";"17,736";"48,7839";"032";"7778406";"0905745713";;;"skola@zslubina.edu.sk";"skola@zslubina.edu.sk";;"www.zslubina.edu.sk";"036125105";;;;;
"859";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Lúka 135";"Lúka";"91634";"17,8785";"48,657";"033";"7785221";;;;"skola@zaluka.edu.sk";"florisovamaria@zoznam.sk";"skola@zaluka.edu.sk";"www.zsluka.edupage.org";"036125563";;;;;
"860";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Spojená škola - ZŠ s MŠ";"Moravské Lieskové 252";"Moravské Lieskové";"91642";"17,7951";"48,8201";"032";"7792111";"0918438473";;"7792111";"zsml@centrum.sk";;"lmitana@centrum.sk";"www.zsmlieskove.edu.sk";"710045883";;;;;
"861";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Spojená škola - ZUŠ";"Moravské Lieskové 83";"Moravské Lieskové";"91642";"17,7952";"48,8201";"032";"7792543";"0918438473";;"7792111";;;;;"710065434";;;;;
"862";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Nová Bošáca 76";"Nová Bošáca";"91308";"17,7956";"48,8783";"032";"7780160";;;"7780160";"zsnovabosaca@centrum.sk";"simanova@centrum.sk";"zsnovabosaca@centrum.sk";"www.zsnobosaca.edu.sk";"036125377";;;;;
"863";"Nové Mesto nad Váhom";"Trenèiansky";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"Bzinská 11";"Nové Mesto nad Váhom";"91501";"17,8258";"48,7648";"032";"7465111";"0917440469";;"7465123";"zsps@spsnmnv.sk";"rebro@sosnmnv.sk";;"www.spsnmnv.sk";"000161403";;;;;
"864";"Nové Mesto nad Váhom";"Trenèiansky";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špeciálna základ. škola";"J. Kollára 3";"Nové Mesto nad Váhom";"91501";"17,8279";"48,7622";"032";"7712743";;;"7712743";"szsnmnv@gmail.com";"szsnmnv@gmail.com";;"www.szmnmv.edu.sk";"034058877";"mentálny";;;;
"865";"Nové Mesto nad Váhom";"Trenèiansky";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špeciálna základ. škola";"J. Kollára 3";"Nové Mesto nad Váhom";"91501";"17,828";"48,7622";"032";"7712743";;;"7712743";"szsnmnv@gmail.com";"szsnmnv@gmail.com";;"www.szmnmv.edu.sk";"034058877";"syndróm autizmu";;;;
"867";"Nové Mesto nad Váhom";"Trenèiansky";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"Spoj.škola sv.Jozefa ZŠ";"Klèové 87";"Nové Mesto nad Váhom";"91501";"17,8304";"48,7609";"032";"7712492";"0903713400";;"7712492";"zssvjnmnv@centrum.sk";"zssvjnmnv@centrum.sk";;"www.zsjozefnm.edu.sk";"710262191";;;;;
"868";"Nové Mesto nad Váhom";"Trenèiansky";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Spoj.šk.- Gym.sv.Jozefa";"Klèové 87";"Nové Mesto nad Váhom";"91501";"17,8305";"48,7609";"032";"7712596";"0903713400";;"7712492";"gymsvjnm@centrum.sk";"gymsvjnm@centrum.sk";;"www.gymklcovenmv.edu.sk";"710221800";;;;;
"869";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Kpt. Nálepku 855";"Nové Mesto nad Váhom";"91501";"17,8299";"48,7517";"032";"7461811";"7461812";"7461814";"7461815";"zsnalnmnv@pobox.sk";"zsnalnmnv@pobox.sk";;"www.zsnalnmnv.edu.sk";"031202667";;;;;
"870";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Odborárska 1374";"Nové Mesto nad Váhom";"91501";"17,8327";"48,7631";"032";"7715417";"0904134639";"0908564775";"7715417";"zsodborarska@stonline.sk";"zsodborarska@stonline.sk";;"www.zs4nmnv.edu.sk";"036125148";;;;;
"871";"Nové Mesto nad Váhom";"Trenèiansky";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"Piešanská 80";"Nové Mesto nad Váhom";"91501";"17,837";"48,7479";"032";"7710708";"0905446836";;"7714881";"sekretariat@prvasosnmnv.sk";"sekretariat@prvasosnmnv.sk";;"www.prvasosnmnv.sk";"000893111";;;;;
"872";"Nové Mesto nad Váhom";"Trenèiansky";"Krajskı úrad, Okresnı úrad";"Gymnázium";"Slovenskı a Španielsky bil.";"Gymnázium";"Bilingv.slov.špan.gymn.";"Štúrova ulica 2590/31A";"Nové Mesto nad Váhom";"91501";"17,8244";"48,7574";"032";"7711023";"0905623416";;"7711023";"bilgym@bilgymnmnv.edu.sk";"bilgym@bilgymnmnv.edu.sk";;"www.bilgymnnv.edu.sk";"037918869";;;;;
"873";"Nové Mesto nad Váhom";"Trenèiansky";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium M.R.Štefanika";"Športová 41";"Nové Mesto nad Váhom";"91501";"17,8245";"48,7574";"032";"7713409";"0905623416";;"7712442";"ivana.matejovicova@gymnm.tsk.sk";"ivana.matejovicova@gymnm.tsk.sk";;"www.gmrsnm.edu.sk";"000160270";;;;;
"874";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"ZUŠ Juraja Kréna";"Štúrova 590";"Nové Mesto nad Váhom";"91501";"17,825";"48,7564";"032";"7712658";"0908082415";;"7712658";"zusjkrena@zoznam.sk";"zusjkrena@zoznam.sk";;;"036125245";;;;;
"876";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Tematínska 2092";"Nové Mesto nad Váhom";"91501";"17,8195";"48,7546";"032";"7406512";"0903234416";"7406514";"7406513";"zstematinska@mail.icss.sk";"zstematinska@mail.icss.sk";;"www.zstematinskanmnv.edupage.o";"031202675";;;;;
"877";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"ZŠ s MŠ Jána Hollého";"Pobedím 433";"Pobedim";"91623";"17,8027";"48,6491";"032";"7794179";"7794460";;"7794460";"zspobedim@centrum.sk";"zspobedim@centrum.sk";;"www.zspobedim.ifastnet.com";"036125300";;;;;
"878";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Hlavná 804";"Podolie";"91622";"17,7753";"48,6778";"032";"7794104";"0902886370";"7795104";"7794104";"zs_podolie@post.sk";"janka.schreiberova@gmail.com";"monika_gaherova@gmx.net";"www.zspodolie.edu.sk";"036125431";;;;;
"879";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základ. škola A.Rudnaya";"Povaany 216";"Povaany";"91626";"17,8429";"48,7138";"032";"7797228";;"7713037";"7713037";"zspovazany@post.sk";;;"www.zspovazany.edupage.org";"051906236";;;;;
"881";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Hurbanova 25";"Stará Turá";"91601";"17,6914";"48,7766";"032";"7763639";"0911117006";;"7763639";"skola@zshurbast.edu.sk";"chmurova.anna@post.sk";"dankoh@post.sk";"www.zshurbast.edu.sk";"036125121";;;;;
"882";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Slov.národ.povstania 293";"Stará Turá";"91601";"17,6917";"48,7799";"032";"7763066";"0905524957";;"7763066";"riaditelzusst@mail.t-com.sk";"riaditelzusst@mail.t-com.sk";;;"036125270";;;;;
"883";"Nové Mesto nad Váhom";"Trenèiansky";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"Športová 675";"Stará Turá";"91601";"17,6833";"48,7812";"032";"7763077";"0905647874";;"7763077";"milan.doruska@sosst.tsk.sk";"milan.doruska@sosst.tsk.sk";;"www.sosst.sk";"000893188";;;;;
"885";"Nové Mesto nad Váhom";"Trenèiansky";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Vaïovce 93";"Vaïovce";"91613";"17,7227";"48,738";"032";"7790239";;;"7790239";"zsvadovce@centrum.sk";;;;"710057849";;;;;
"886";"Partizánske";"Trenèiansky";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Pribinova 24";"Bošany";"95618";"18,2491";"48,5778";"038";"5427510";;;;"zusbo@zoznam.sk";"zusbo@zoznam.sk";;;"710144017";;;;;
"887";"Partizánske";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 14";"Bošany";"95618";"18,2508";"48,5843";"038";"5372014";"5372011";"5372012";"5372015";"zsbosany@zsbosany.edu.sk";"konturova@zsbosany.edu.sk";"schneidgenova@zsbosany.edu.sk";"www.zsbosany.edu.sk";"036115207";;;;;
"888";"Partizánske";"Trenèiansky";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Brodzany 25";"Brodzany";"95842";"18,34";"48,6089";"038";"7487211";;;;"zsbrodzany@centrum.sk";"riaditelkabrodzany@centrum.sk";;;"710057520";;;;;
"889";"Partizánske";"Trenèiansky";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Hradište 277";"Hradište";"95854";"18,3723";"48,6817";"038";"7489263";;;;"obecnaskola@post.sk";"obecnaskola@post.sk";;;"710057407";;;;;
"890";"Partizánske";"Trenèiansky";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ AKORD";"Hradište 277";"Hradište";"95854";"18,3724";"48,6817";;"0905488254";;;;"akord_hradiste@inmail.sk";;;;"037922718";;;;;
"891";"Partizánske";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Zákl.šk.V.Beniaka  s MŠ";"Školská 13";"Chynorany";"95633";"18,3759";"48,6228";"038";"5424313";"5423380";;"5423380";"skola@zschynorany.edu.sk";"riaditel@zschynorany.edu.sk";;"www.zschynorany.edu.sk";"036125687";;;;;
"892";"Partizánske";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Klátova Nová Ves 351";"Klátova Nová Ves";"95844";"18,3051";"48,564";"038";"5420277";;;"5420490";"zsknv@stonline.sk";;;"www.zsknv.edupage.org";"036125636";;;;;
"893";"Partizánske";"Trenèiansky";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Ostratice 188";"Ostratice";"95634";"18,2809";"48,6447";"038";"7688144";"0910149416";;;;"beata88@pobox.sk";;;"710057512";;;;;
"894";"Partizánske";"Trenèiansky";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špeciálna základ. škola";"Gen. Svobodu 73";"Partizánske";"95801";"18,3647";"48,625";"038";"7492867";"0902226466";;"7492867";"special-skolape@stonline.sk";"special-skolape@stonline.sk";;"www.szspart.edupage.org";"034058915";"mentálny";;;;
"895";"Partizánske";"Trenèiansky";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špeciálna základ. škola";"Gen. Svobodu 73";"Partizánske";"95801";"18,3648";"48,625";"038";"7492867";"0902226466";;"7492867";"special-skolape@stonline.sk";"special-skolape@stonline.sk";;"www.szspart.edupage.org";"034058915";"syndróm autizmu";;;;
"896";"Partizánske";"Trenèiansky";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špeciálna základ. škola";"Gen. Svobodu 73";"Partizánske";"95801";"18,3649";"48,625";"038";"7492867";"0902226466";;"7492867";"special-skolape@stonline.sk";"special-skolape@stonline.sk";;"www.szspart.edupage.org";"034058915";"pri zdravotníckom zariadení";;;;
"897";"Partizánske";"Trenèiansky";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Komenského 1074";"Partizánske";"95801";"18,3772";"48,6222";"038";"7492763";"7493551";;"7493551";"gympe@gympe.sk";"tcsollar@gympe.sk";;"www.gympe.sk";"000160296";;;;;
"899";"Partizánske";"Trenèiansky";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Malinovského 31";"Partizánske";"95806";"18,3953";"48,6218";"038";"7401803";"0905735985";"7402255";"7402255";"zsmalinovpart@post.sk";"zsmalinovpart@post.sk";;"www.zsmalinovpart.edu.sk";"036125610";;;;;
